episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
38,multi_level_coordinated_dqn,29,936.0886,0.193613,0.8266,1401.7889,-0.7215,0.0485,1.4230,0.2066,0.5877,0.3875,32.13,34.86,33.01
39,multi_level_coordinated_dqn,29,929.3430,0.164092,0.8224,1630.0022,-0.7404,0.0408,1.4167,0.2113,0.5938,0.4045,32.79,34.18,33.02
40,multi_level_coordinated_dqn,29,869.0053,0.165280,0.8183,834.9159,-0.7352,0.0491,1.4200,0.2081,0.5954,0.3704,31.08,34.63,34.29
41,multi_level_coordinated_dqn,29,876.7264,0.354035,0.8142,752.3395,-0.7519,0.0382,1.4162,0.2142,0.5999,0.3943,33.33,29.89,36.78
42,multi_level_coordinated_dqn,29,912.6014,0.167479,0.8102,837.2868,-0.7340,0.0450,1.4202,0.2088,0.5914,0.3922,30.29,33.01,36.70
43,multi_level_coordinated_dqn,29,928.8590,0.271646,0.8061,425.4838,-0.7241,0.0462,1.4222,0.2076,0.5886,0.3881,27.64,30.85,41.51
44,multi_level_coordinated_dqn,29,872.7095,0.256860,0.8021,434.4560,-0.7621,0.0316,1.4123,0.2179,0.6039,0.4131,34.06,29.84,36.09
45,multi_level_coordinated_dqn,29,932.3027,0.353461,0.7981,539.1425,-0.7425,0.0433,1.4186,0.2104,0.5951,0.4055,33.02,29.78,37.19
46,multi_level_coordinated_dqn,29,932.4940,0.155950,0.7941,407.3930,-0.7426,0.0435,1.4186,0.2102,0.5948,0.4046,32.48,29.24,38.27
47,multi_level_coordinated_dqn,29,878.7070,0.289228,0.7901,410.1045,-0.7647,0.0309,1.4118,0.2183,0.6051,0.4188,29.48,33.49,37.04
48,multi_level_coordinated_dqn,29,937.4392,0.113248,0.7862,1174.8963,-0.7156,0.0517,1.4248,0.2041,0.5836,0.3806,30.28,34.66,35.06
49,multi_level_coordinated_dqn,29,954.4324,0.169139,0.7822,1223.1795,-0.6950,0.0592,1.4311,0.1988,0.5739,0.3630,29.00,29.42,41.58
50,multi_level_coordinated_dqn,29,972.2787,0.100799,0.7783,1484.0004,-0.7524,0.0362,1.4147,0.2163,0.6021,0.4351,33.41,32.61,33.98
51,multi_level_coordinated_dqn,29,921.3075,0.123694,0.7744,1304.6840,-0.7311,0.0479,1.4214,0.2078,0.5914,0.3905,29.49,37.74,32.77
52,multi_level_coordinated_dqn,29,938.0559,0.245044,0.7705,1046.4169,-0.7217,0.0498,1.4236,0.2055,0.5861,0.3872,38.94,27.80,33.25
53,multi_level_coordinated_dqn,29,856.4780,0.171332,0.7667,1038.6718,-0.7580,0.0311,1.4132,0.2178,0.6038,0.4067,30.21,29.57,40.22
54,multi_level_coordinated_dqn,29,904.8978,0.083502,0.7629,938.0837,-0.7707,0.0331,1.4109,0.2181,0.6081,0.4273,34.60,29.24,36.16
55,multi_level_coordinated_dqn,29,930.6232,0.198130,0.7590,746.7646,-0.7277,0.0493,1.4241,0.2058,0.5868,0.3868,33.01,36.94,30.05
56,multi_level_coordinated_dqn,29,932.1192,0.136112,0.7553,694.0627,-0.6953,0.0607,1.4327,0.1969,0.5713,0.3558,38.27,29.97,31.76
57,multi_level_coordinated_dqn,29,930.6342,0.139082,0.7515,1089.3660,-0.7435,0.0431,1.4184,0.2105,0.5952,0.4062,35.80,30.94,33.26
58,multi_level_coordinated_dqn,29,880.2944,0.146336,0.7477,1028.1618,-0.7646,0.0313,1.4126,0.2180,0.6051,0.4189,29.55,37.27,33.18
59,multi_level_coordinated_dqn,29,927.5094,0.212962,0.7440,1159.4978,-0.7037,0.0575,1.4296,0.1998,0.5768,0.3617,35.30,30.83,33.87
60,multi_level_coordinated_dqn,29,872.8313,0.155907,0.7403,1272.0002,-0.7354,0.0422,1.4205,0.2098,0.5908,0.3814,24.25,31.92,43.83
61,multi_level_coordinated_dqn,29,936.3330,0.098590,0.7366,1132.3471,-0.7223,0.0491,1.4235,0.2063,0.5871,0.3867,35.18,29.09,35.74
62,multi_level_coordinated_dqn,29,840.8674,0.214674,0.7329,552.9388,-0.7661,0.0300,1.4099,0.2212,0.6130,0.4072,38.94,31.89,29.17
63,multi_level_coordinated_dqn,29,940.8559,0.087327,0.7292,788.0334,-0.7195,0.0498,1.4236,0.2055,0.5861,0.3872,24.60,30.61,44.79
64,multi_level_coordinated_dqn,29,937.6907,0.209163,0.7256,741.4480,-0.7389,0.0438,1.4186,0.2100,0.5945,0.4055,28.01,36.50,35.49
65,multi_level_coordinated_dqn,29,882.8623,0.256913,0.7219,889.4933,-0.7325,0.0453,1.4229,0.2082,0.5895,0.3780,36.50,35.50,28.00
66,multi_level_coordinated_dqn,29,811.0076,0.198756,0.7183,792.5674,-0.7934,0.0235,1.4035,0.2273,0.6251,0.4227,32.11,28.67,39.22
67,multi_level_coordinated_dqn,29,940.8559,0.154808,0.7147,713.8320,-0.7195,0.0498,1.4236,0.2055,0.5861,0.3872,24.04,25.48,50.48
68,multi_level_coordinated_dqn,29,859.7169,0.159168,0.7112,1230.7496,-0.7757,0.0308,1.4083,0.2219,0.6161,0.4199,30.40,25.00,44.60
69,multi_level_coordinated_dqn,29,940.8559,0.123279,0.7076,1221.8644,-0.7195,0.0498,1.4236,0.2055,0.5861,0.3872,31.73,34.21,34.05
70,multi_level_coordinated_dqn,29,931.5971,0.203474,0.7041,1305.9854,-0.7253,0.0485,1.4233,0.2068,0.5881,0.3871,38.94,28.69,32.37
71,multi_level_coordinated_dqn,29,931.8016,0.345525,0.7005,940.3704,-0.7253,0.0494,1.4225,0.2058,0.5872,0.3867,27.16,34.78,38.06
72,multi_level_coordinated_dqn,29,940.5059,0.268826,0.6970,471.1304,-0.7197,0.0498,1.4236,0.2055,0.5861,0.3872,36.38,29.73,33.89
73,multi_level_coordinated_dqn,29,901.6109,0.151238,0.6936,487.6413,-0.7377,0.0418,1.4183,0.2108,0.5949,0.3936,34.05,41.83,24.12
74,multi_level_coordinated_dqn,29,935.0348,0.119561,0.6901,479.8987,-0.7223,0.0488,1.4228,0.2064,0.5876,0.3877,33.65,39.50,26.84
75,multi_level_coordinated_dqn,29,894.0022,0.206745,0.6866,500.5978,-0.7492,0.0433,1.4223,0.2094,0.5874,0.3875,40.46,28.77,30.77
76,multi_level_coordinated_dqn,29,899.6302,0.298449,0.6832,499.3152,-0.7400,0.0422,1.4187,0.2110,0.5939,0.3952,34.05,31.33,34.62
77,multi_level_coordinated_dqn,29,939.1059,0.331719,0.6798,435.6613,-0.7209,0.0498,1.4236,0.2055,0.5861,0.3872,30.69,35.58,33.73
