episode,controller_type,state_dim,reward,policy_loss,value_loss,entropy,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
36,multi_level_coordinated_ppo,29,942.3750,-0.002553,0.000025,1.006638,785.1635,-0.7185,0.0500,1.4236,0.2054,0.5856,0.3868,18.35,46.15,35.50
37,multi_level_coordinated_ppo,29,940.8559,-0.002503,0.000027,0.990470,794.1865,-0.7195,0.0498,1.4236,0.2055,0.5861,0.3872,13.94,46.07,39.98
38,multi_level_coordinated_ppo,29,936.2296,-0.000703,0.000022,0.954300,774.9259,-0.7221,0.0489,1.4234,0.2065,0.5874,0.3872,11.62,40.95,47.44
39,multi_level_coordinated_ppo,29,937.4034,-0.001088,0.000023,0.965477,707.5570,-0.7215,0.0491,1.4235,0.2062,0.5870,0.3862,10.90,36.78,52.32
40,multi_level_coordinated_ppo,29,938.1443,-0.002475,0.000037,0.944854,585.9797,-0.7226,0.0506,1.4237,0.2056,0.5861,0.3825,11.14,40.62,48.24
41,multi_level_coordinated_ppo,29,911.3031,-0.000705,0.000035,0.957629,547.4035,-0.7123,0.0553,1.4267,0.2015,0.5805,0.3638,10.56,37.92,51.52
42,multi_level_coordinated_ppo,29,936.2296,-0.000900,0.000028,0.949454,473.3835,-0.7221,0.0489,1.4234,0.2065,0.5874,0.3872,9.29,41.75,48.96
43,multi_level_coordinated_ppo,29,924.4352,-0.004212,0.000024,0.955377,614.7024,-0.7050,0.0568,1.4290,0.2002,0.5780,0.3626,9.80,36.74,53.46
44,multi_level_coordinated_ppo,29,938.9029,-0.001249,0.000021,0.984759,562.6300,-0.7204,0.0497,1.4231,0.2056,0.5864,0.3866,11.62,43.35,45.03
45,multi_level_coordinated_ppo,29,927.0610,-0.000679,0.000039,1.014607,665.9851,-0.7271,0.0483,1.4217,0.2071,0.5895,0.3856,15.06,39.10,45.83
46,multi_level_coordinated_ppo,29,937.7465,-0.002256,0.000023,1.011926,622.2441,-0.7154,0.0517,1.4249,0.2041,0.5837,0.3804,19.16,36.69,44.16
