episode,step_index,tl_id,current_phase,required_ev_phase,requested_action,applied_action,action_label,ev_distance_before,ev_distance_after,ev_speed_before,ev_speed_after,ev_wait_before,ev_wait_after,ev_move_m,ev_wait_delta,ev_speed_delta,reward_total,local_reward,neighbor_reward,global_reward,switch_penalty,intersection_clear_reward,queue_penalty,network_congestion_penalty,downstream_blockage_penalty
5,28,B1,1,0,2,2,action_2_extend_green,0.39062387672680643,0.39062387672680643,0.0,0.0,2.0,3.0,0.0,1.0,0.0,-1.8478452181582299,-3.3668645931582297,0.08026937500000005,1.43875,-0.0,0.0,-0.098,-0.18,-0.058499999999999996
5,30,B1,1,0,2,2,action_2_extend_green,0.39062387672680643,0.39062387672680643,0.0,0.0,4.0,5.0,0.0,1.0,0.0,-2.048210760921388,-3.486930382631914,0.030963042763157988,1.4077565789473683,-0.0,0.0,-0.098,-0.19536842105263158,-0.06974999999999999
5,31,B1,1,0,1,1,action_1_switch_to_ev_green,0.39062387672680643,3.3229474496146736,0.0,3.71357132634148,5.0,0.0,0.0,-5.0,3.71357132634148,3.491006556855501,1.83,0.05659645833333332,1.6044100985221674,-0.35,3.0,-0.07,-0.192,-0.0765
