episode,reward,policy_loss,value_loss,entropy,runtime_seconds
111,-292.5194,0.001249,0.043772,0.862384,17.1430
112,-332.1246,-0.001593,0.038474,0.873372,18.2412
113,-292.7293,0.000258,0.040188,0.895719,17.3885
114,-324.6022,-0.000323,0.040340,0.897369,17.7474
115,-293.3650,-0.002999,0.037080,0.917450,17.3419
116,-275.6944,-0.001018,0.040984,0.933736,17.1733
117,-342.2479,0.001514,0.059553,0.936988,16.9750
118,-295.2002,0.000364,0.038831,0.932379,17.6970
119,-303.5775,-0.003172,0.035939,0.940689,17.8281
120,-359.7494,-0.000169,0.037763,0.960875,18.9846
121,-317.3810,-0.000698,0.042748,0.982147,18.1452
122,-339.2071,-0.001175,0.046288,0.998053,16.7053
123,-288.6797,-0.000048,0.051200,1.008411,15.8790
124,-292.8660,-0.000569,0.041348,1.010561,16.2732
125,-390.5406,-0.000380,0.063874,1.007345,17.9638
126,-307.4425,-0.000354,0.037412,1.006126,16.9282
127,-310.6493,-0.001381,0.047178,1.000173,8.4013
128,-328.6711,-0.001101,0.038501,0.983471,7.3350
129,-293.7184,0.000071,0.051269,0.966922,6.9986
130,-319.8216,-0.001701,0.034970,0.951813,12.8808
131,-293.9931,-0.004437,0.034094,0.928773,11.5115
132,-293.9931,-0.000523,0.031871,0.896131,11.9297
133,-328.0066,-0.000478,0.028748,0.865830,11.8002
134,-291.5768,-0.002459,0.033499,0.844846,9.2401
135,-293.7870,-0.004857,0.027515,0.811004,10.6827
136,-285.3980,-0.006965,0.031017,0.769496,8.6445
137,-301.0877,-0.001342,0.024478,0.710372,8.3603
138,-274.4415,-0.003426,0.031287,0.632429,8.0559
139,-303.1264,0.001856,0.023229,0.561258,8.4320
140,-292.5989,-0.005099,0.025846,0.551774,8.5502
141,-297.0297,-0.001335,0.023639,0.478546,9.9262
142,-293.9931,-0.002458,0.022769,0.404496,8.9025
143,-293.9931,0.000358,0.023587,0.368946,8.1777
144,-293.9931,0.000239,0.022463,0.383237,9.0830
145,-302.1896,-0.000497,0.021916,0.373686,7.8245
146,-293.0563,-0.001068,0.022260,0.409667,8.6825
