episode,reward,policy_loss,value_loss,entropy,runtime_seconds,adaptive_ev_weight,adaptive_network_weight,congestion_level,ev_reward_component,network_reward_component,pct_low_congestion,pct_medium_congestion,pct_high_congestion,action_0_pct,action_1_pct,action_2_pct
42,546.8487,-0.002888,0.000144,0.816174,274.6255,0.3615,0.6385,high,15.0000,926.1121,0.00,30.77,69.23,18.35,66.11,15.54
43,544.9740,-0.002570,0.000117,0.835338,269.1267,0.3623,0.6377,high,15.0000,923.1385,0.00,31.17,68.83,13.80,72.56,13.64
44,545.9456,-0.001924,0.000103,0.730694,271.6149,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,17.55,70.75,11.70
45,545.4556,-0.001384,0.000100,0.688915,273.5211,0.3615,0.6385,high,15.0000,925.1559,0.00,30.77,69.23,15.54,74.28,10.18
46,547.3178,-0.001512,0.000104,0.707325,272.8756,0.3615,0.6385,high,15.0000,927.9156,0.00,30.77,69.23,11.38,78.69,9.94
47,545.9456,0.000319,0.000101,0.671965,274.3086,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,15.46,76.60,7.93
48,546.1926,-0.000844,0.000154,0.731014,285.5605,0.3593,0.6407,high,15.0000,922.6907,0.00,29.63,70.37,16.36,75.00,8.64
49,545.7706,-0.000258,0.000160,0.637040,33916.9999,0.3615,0.6385,high,15.0000,925.5059,0.00,30.77,69.23,14.98,76.68,8.33
50,532.9377,-0.001965,0.000108,0.722431,392.3433,0.3615,0.6385,high,15.0000,903.0509,0.00,30.77,69.23,12.66,80.29,7.05
51,532.2328,-0.000054,0.000098,0.717636,2303.0541,0.3615,0.6385,high,15.0000,906.2166,0.00,30.77,69.23,14.74,76.12,9.13
52,545.7706,-0.002534,0.000094,0.655256,246.9063,0.3615,0.6385,high,15.0000,925.5059,0.00,30.77,69.23,16.03,76.84,7.13
53,547.3178,-0.001222,0.000089,0.651269,799.2915,0.3615,0.6385,high,15.0000,927.9156,0.00,30.77,69.23,14.10,79.17,6.73
54,545.9456,-0.000553,0.000091,0.570818,902.0604,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,11.70,79.81,8.49
55,545.9456,-0.003089,0.000086,0.610593,836.0946,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,10.18,83.41,6.41
56,547.2192,-0.000897,0.000086,0.673076,680.2625,0.3615,0.6385,high,15.0000,927.7250,0.00,30.77,69.23,10.90,81.41,7.69
57,547.9872,-0.002440,0.000092,0.691652,886.5204,0.3568,0.6432,high,15.0000,920.3632,0.00,28.40,71.60,14.97,74.85,10.19
58,546.1926,0.000495,0.000103,0.616841,700.1649,0.3593,0.6407,high,15.0000,922.6907,0.00,29.63,70.37,10.57,79.55,9.88
59,547.2192,-0.001459,0.000095,0.644851,456.4359,0.3615,0.6385,high,15.0000,927.7250,0.00,30.77,69.23,11.38,76.52,12.10
60,545.9456,-0.000228,0.000089,0.601150,321.7494,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,10.50,78.85,10.66
61,547.3178,-0.001233,0.000086,0.586299,467.1181,0.3615,0.6385,high,15.0000,927.9156,0.00,30.77,69.23,6.57,84.86,8.57
62,546.6737,-0.000926,0.000108,0.592398,379.9438,0.3615,0.6385,high,15.0000,925.7621,0.00,30.77,69.23,8.25,82.69,9.05
63,545.9456,-0.001875,0.000083,0.540718,455.4113,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,9.62,82.29,8.09
64,547.2192,-0.000500,0.000080,0.536358,432.7754,0.3615,0.6385,high,15.0000,927.7250,0.00,30.77,69.23,9.13,83.81,7.05
65,546.8487,-0.001448,0.000083,0.573353,438.6406,0.3615,0.6385,high,15.0000,926.1121,0.00,30.77,69.23,9.62,82.45,7.93
66,545.7706,-0.000639,0.000088,0.533931,449.5074,0.3615,0.6385,high,15.0000,925.5059,0.00,30.77,69.23,8.97,84.21,6.81
67,547.2192,-0.001026,0.000075,0.483358,457.7066,0.3615,0.6385,high,15.0000,927.7250,0.00,30.77,69.23,7.69,86.46,5.85
68,545.9456,-0.000133,0.000073,0.438414,677.8482,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,6.81,86.70,6.49
69,547.2192,-0.000462,0.000074,0.440529,755.4686,0.3615,0.6385,high,15.0000,927.7250,0.00,30.77,69.23,4.49,88.94,6.57
70,545.9456,-0.002109,0.000077,0.410637,848.1423,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,3.93,86.78,9.29
71,547.3178,-0.000361,0.000080,0.373458,939.7045,0.3615,0.6385,high,15.0000,927.9156,0.00,30.77,69.23,4.81,88.30,6.89
72,545.9456,-0.000835,0.000083,0.395012,847.3092,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,3.77,90.54,5.69
73,545.9456,-0.000999,0.000075,0.429425,5677.4461,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,4.65,89.82,5.53
74,545.9456,0.000575,0.000074,0.404045,781.6060,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,4.41,88.78,6.81
75,545.9456,-0.001146,0.000069,0.474487,614.1436,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,4.73,86.54,8.73
76,547.0442,-0.001176,0.000083,0.513394,557.6572,0.3615,0.6385,high,15.0000,927.3750,0.00,30.77,69.23,5.45,85.66,8.89
77,545.9456,-0.000131,0.000072,0.499103,682.6799,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,5.05,83.49,11.46
78,545.9456,-0.000719,0.000068,0.518154,548.7310,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,5.21,85.42,9.38
79,545.9456,-0.001003,0.000066,0.518561,421.2996,0.3615,0.6385,high,15.0000,925.8559,0.00,30.77,69.23,4.65,83.89,11.46
