episode,total_reward,steps,epsilon,loss_last
70,-1133.5000,45,0.7041,2156.104492
71,-1293.5000,45,0.7005,4087.776855
72,-1388.0000,45,0.6970,6122.283203
73,-1250.5000,45,0.6936,262.868347
74,-1124.0000,45,0.6901,7814.064453
75,-1125.5000,45,0.6866,3837.757812
76,-1240.0000,45,0.6832,2652.413574
77,-1281.5000,45,0.6798,785.239380
78,-1330.5000,45,0.6764,2607.217529
79,-1250.5000,47,0.6730,4495.671387
80,-1178.0000,45,0.6696,3014.382080
81,-1269.0000,45,0.6663,7024.027832
82,-1221.0000,45,0.6630,2764.533203
83,-1596.5000,54,0.6597,2639.722900
84,-1283.5000,45,0.6564,2968.278076
85,-1237.0000,45,0.6531,2661.583496
86,-1270.0000,45,0.6498,255.724716
87,-1388.0000,45,0.6466,7912.634766
88,-1237.0000,45,0.6433,325.544830
89,-1344.5000,45,0.6401,7447.780273
90,-1291.0000,48,0.6369,2752.725098
91,-1128.0000,45,0.6337,8048.673340
92,-1421.0000,47,0.6306,2898.959473
93,-1183.0000,45,0.6274,3216.844727
94,-1479.0000,47,0.6243,7997.037109
95,-1105.0000,45,0.6211,5694.038086
96,-1141.5000,45,0.6180,7928.621094
97,-1198.5000,47,0.6149,7959.902344
98,-1348.5000,45,0.6119,438.257141
99,-1313.5000,45,0.6088,518.383911
100,-1140.5000,45,0.6058,6359.633301
101,-1240.0000,45,0.6027,921.577087
102,-1162.5000,45,0.5997,3669.622559
103,-1111.0000,45,0.5967,908.448059
104,-1305.5000,45,0.5937,723.206055
105,-1181.0000,45,0.5908,6193.556641
106,-1344.0000,45,0.5878,3417.746094
107,-1526.5000,57,0.5849,8959.862305
108,-1281.0000,50,0.5820,5950.675293
109,-1129.0000,45,0.5790,3615.616699
110,-1126.0000,45,0.5762,9255.515625
111,-1132.0000,45,0.5733,535.054688
112,-1630.5000,55,0.5704,3852.955566
113,-1234.5000,45,0.5676,9274.284180
114,-1112.0000,45,0.5647,4139.848633
115,-1322.0000,45,0.5619,806.237854
116,-1305.5000,45,0.5591,3568.583496
117,-1291.0000,45,0.5563,3390.305176
118,-1100.5000,45,0.5535,9743.248047
119,-1132.0000,45,0.5507,4092.396729
120,-1334.5000,45,0.5480,7326.374023
121,-1121.0000,45,0.5452,6726.995605
122,-1137.0000,45,0.5425,10669.974609
123,-1074.5000,45,0.5398,4102.418945
124,-1132.0000,45,0.5371,585.266846
125,-1157.0000,46,0.5344,7434.670898
126,-1190.0000,47,0.5318,801.775513
127,-1197.0000,45,0.5291,964.035706
128,-1256.0000,45,0.5264,7681.161133
129,-1496.0000,54,0.5238,4577.988770
130,-1178.0000,45,0.5212,10796.013672
131,-1141.5000,45,0.5186,438.697632
132,-1290.5000,46,0.5160,10480.496094
133,-1308.5000,47,0.5134,1202.644531
134,-1140.5000,45,0.5108,3797.492676
135,-1241.0000,45,0.5083,14010.875977
136,-1174.5000,46,0.5058,4530.969238
137,-1120.0000,45,0.5032,1043.232300
138,-1241.0000,45,0.5007,4374.949707
139,-1361.0000,47,0.4982,3816.805420
140,-1204.0000,47,0.4957,1672.863892
141,-1141.5000,45,0.4932,8291.909180
142,-1192.5000,47,0.4908,8020.013184
143,-1111.5000,45,0.4883,7709.041992
144,-1187.0000,46,0.4859,4285.716797
145,-1132.0000,45,0.4834,1040.541260
146,-1138.5000,45,0.4810,4205.548828
147,-1204.5000,47,0.4786,4193.250000
148,-1135.5000,45,0.4762,1366.398682
149,-1172.0000,47,0.4738,4553.365723
150,-1137.5000,45,0.4715,8408.284180
151,-1151.0000,45,0.4691,11992.021484
152,-1125.0000,45,0.4668,5547.468750
153,-1259.5000,45,0.4644,1157.479858
154,-1260.5000,45,0.4621,4637.859375
155,-1131.0000,45,0.4598,5228.978516
156,-1136.0000,45,0.4575,1148.539307
157,-1270.0000,45,0.4552,12622.196289
158,-1178.0000,45,0.4529,1209.456299
159,-1302.0000,45,0.4507,2953.602051
160,-1116.0000,45,0.4484,4514.373535
161,-1140.5000,45,0.4462,8875.086914
162,-1241.0000,45,0.4440,12532.353516
163,-1184.5000,45,0.4417,1581.881104
164,-1141.5000,45,0.4395,5058.473633
165,-1128.0000,45,0.4373,9536.590820
166,-1170.5000,45,0.4351,12529.312500
167,-1183.0000,45,0.4330,8409.453125
168,-1114.0000,45,0.4308,1017.175720
169,-1185.5000,46,0.4286,791.695923
170,-1112.0000,45,0.4265,12147.692383
171,-1128.0000,45,0.4244,8650.394531
172,-1534.0000,51,0.4223,8382.333984
173,-1348.5000,45,0.4201,6040.495605
174,-1182.0000,46,0.4180,9705.865234
175,-1178.5000,45,0.4159,1508.052734
176,-1212.5000,46,0.4139,5456.038574
177,-1132.0000,45,0.4118,5446.344238
178,-1111.5000,45,0.4097,4852.000977
179,-1141.5000,45,0.4077,8773.495117
180,-1258.0000,45,0.4057,4261.996094
181,-1131.5000,45,0.4036,5805.933594
182,-1132.0000,45,0.4016,16800.097656
183,-1133.5000,45,0.3996,8157.266113
184,-1184.5000,45,0.3976,20990.310547
185,-1114.0000,45,0.3956,4825.779297
186,-1134.0000,45,0.3936,11666.977539
187,-1179.5000,45,0.3917,9167.400391
188,-1752.5000,54,0.3897,9822.527344
189,-1135.5000,45,0.3878,4627.615723
190,-1117.0000,45,0.3858,8724.174805
191,-1139.5000,45,0.3839,1038.772217
192,-1290.5000,45,0.3820,4242.156250
193,-1132.0000,45,0.3801,4651.413086
194,-1293.5000,45,0.3782,8717.240234
195,-1345.0000,45,0.3763,9568.583008
196,-1387.5000,49,0.3744,4950.920898
197,-1330.5000,45,0.3725,4502.651367
198,-1133.5000,45,0.3707,1662.038940
199,-1132.0000,45,0.3688,4440.477051
200,-1380.5000,52,0.3670,4545.876465
201,-1117.0000,45,0.3651,19884.251953
202,-1078.5000,45,0.3633,4945.760742
203,-1080.5000,45,0.3615,5156.754883
204,-1133.0000,45,0.3597,1307.679199
205,-1248.5000,45,0.3579,5559.112305
206,-1131.5000,45,0.3561,5689.136230
207,-1141.5000,45,0.3543,13897.154297
208,-1228.5000,45,0.3525,9044.513672
209,-1262.5000,45,0.3508,5478.511719
210,-1126.0000,45,0.3490,9441.551758
211,-1246.5000,45,0.3473,22484.277344
212,-1145.0000,45,0.3455,5086.087891
213,-1140.5000,45,0.3438,17204.484375
214,-1107.0000,45,0.3421,1032.408447
215,-1111.0000,45,0.3404,707.041260
216,-1136.5000,46,0.3387,5962.790527
217,-1070.5000,45,0.3370,5239.356445
218,-1476.0000,52,0.3353,1707.180908
219,-1191.5000,47,0.3336,5995.225586
220,-1474.5000,52,0.3320,5130.690430
221,-1123.0000,45,0.3303,13667.515625
222,-1181.5000,47,0.3286,10110.686523
223,-1128.5000,45,0.3270,5812.053223
224,-1289.5000,45,0.3254,2184.333008
225,-1512.0000,56,0.3237,1138.544312
226,-1135.5000,45,0.3221,6224.832031
227,-1131.5000,45,0.3205,8881.071289
228,-1358.5000,54,0.3189,2980.700684
229,-1168.5000,46,0.3173,1138.194824
230,-1116.5000,45,0.3157,4861.806152
231,-1113.5000,46,0.3141,8182.318359
232,-1286.0000,45,0.3126,8651.056641
233,-1215.0000,46,0.3110,5296.326172
234,-1223.0000,48,0.3095,9731.277344
235,-1132.0000,46,0.3079,5625.358887
236,-1229.5000,45,0.3064,4918.298340
237,-1126.5000,45,0.3048,9516.983398
238,-1237.5000,45,0.3033,13703.589844
239,-1178.0000,48,0.3018,16190.625977
240,-1531.0000,54,0.3003,1277.486816
241,-1171.0000,47,0.2988,8791.991211
242,-1271.0000,45,0.2973,5346.049805
243,-1364.5000,52,0.2958,1713.826782
244,-1225.0000,45,0.2943,9959.751953
245,-1294.5000,46,0.2929,11150.184570
246,-1168.5000,46,0.2914,1957.399658
247,-1197.0000,45,0.2899,9815.162109
248,-1104.5000,45,0.2885,5620.295898
249,-1234.5000,46,0.2870,6073.486328
250,-1193.0000,47,0.2856,6143.421875
251,-1123.0000,45,0.2842,8474.640625
252,-1117.5000,46,0.2828,4799.213379
253,-1108.0000,45,0.2813,3938.465088
254,-1137.5000,45,0.2799,5550.478027
255,-1904.0000,65,0.2785,3544.213867
256,-1300.5000,45,0.2771,5007.050781
257,-1186.5000,47,0.2758,8635.302734
258,-1142.0000,46,0.2744,4273.208984
259,-1524.0000,54,0.2730,4026.229248
260,-1157.5000,47,0.2716,2581.006348
261,-1568.0000,58,0.2703,10911.961914
262,-1141.5000,46,0.2689,1920.141602
