episode,reward,policy_loss,value_loss,entropy,runtime_seconds
110,-897.8435,0.000202,0.000233,0.554190,180.1214
111,-959.4425,-0.000018,0.000304,0.512856,188.9190
112,-897.8435,-0.000961,0.000263,0.497550,186.0528
113,-897.8435,0.000065,0.000227,0.460618,184.7212
114,-897.8435,-0.000190,0.000223,0.439911,183.3952
115,-892.2892,-0.002645,0.000220,0.370993,181.1492
116,-870.9051,-0.000458,0.000202,0.358951,178.0891
117,-892.2892,-0.000815,0.000192,0.294112,180.9712
118,-892.2892,0.000206,0.000229,0.288702,180.4756
119,-892.2892,0.000012,0.000236,0.258565,180.6877
120,-892.2892,-0.000688,0.000207,0.281693,180.9979
121,-892.2892,-0.000371,0.000191,0.233311,180.5871
122,-892.2892,-0.000219,0.000195,0.230916,181.9490
123,-892.2892,-0.000374,0.000187,0.210728,180.6353
124,-892.2892,-0.000183,0.000172,0.214886,181.1220
125,-892.2892,0.000017,0.000204,0.198002,181.5913
126,-892.2892,-0.000334,0.000179,0.193418,185.0295
127,-892.2892,0.000001,0.000181,0.180320,180.9649
128,-892.2892,-0.000731,0.000197,0.188882,1036.2935
129,-892.2892,-0.000465,0.000192,0.179873,171.6612
130,-891.3216,-0.000851,0.000179,0.194910,190.5437
131,-892.2892,0.000157,0.000212,0.188787,175.5575
132,-892.2892,-0.000291,0.000189,0.188627,177.3850
133,-892.2892,-0.001364,0.000180,0.217721,178.7203
134,-892.2892,-0.001395,0.000175,0.190181,178.2594
135,-892.2892,0.000183,0.000198,0.202805,178.9864
136,-892.2892,0.000045,0.000169,0.190619,179.0787
137,-892.9454,-0.000960,0.000158,0.167553,179.8534
138,-892.2892,-0.000959,0.000163,0.199048,179.7992
139,-892.2892,-0.001012,0.000172,0.167063,191.7970
140,-892.2892,-0.000283,0.000164,0.158955,183.6690
141,-892.2892,-0.001018,0.000160,0.111902,538.0555
142,-892.2892,-0.000050,0.000173,0.115188,2192.7499
143,-892.2892,0.000138,0.000183,0.119036,414.6679
144,-891.3216,-0.000464,0.000163,0.136508,591.5504
145,-892.2892,-0.001367,0.000146,0.169208,606.3640
146,-892.2892,-0.001424,0.000159,0.146869,614.6363
147,-892.2892,0.000279,0.000223,0.153409,610.7762
148,-892.2892,-0.000560,0.000162,0.153097,530.0663
