time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
141.0,17.3625,13.0,-1.6,982.7299999999999,0.0,7.764705882352941,660.0,45,0
142.0,17.25155376717448,30.251553767174478,-1.6,965.4784462328254,0.0,5.964705882352941,507.0,37,0
143.0,17.141969793848695,47.39352356102317,-1.6,948.3364764389768,0.0,5.635294117647059,479.0,31,0
144.0,17.24049728633836,64.63402084736154,-1.6,931.0959791526385,0.0,5.950617283950617,482.0,28,4
145.0,17.05398808149621,81.68800892885776,-1.6,914.0419910711422,0.0,6.246913580246914,506.0,29,0
146.0,17.353974569868296,99.04198349872604,-1.6,896.6880165012739,0.0,6.746835443037975,533.0,29,2
147.0,17.020621606335045,116.0626051050611,-1.6,879.6673948949389,0.0,7.113924050632911,562.0,30,0
148.0,17.314137249533086,133.37674235459417,-1.6,862.3532576454057,0.0,7.701298701298701,593.0,31,2
149.0,17.344402548018845,150.72114490261302,-1.6,845.0088550973868,0.0,0.7733333333333333,58.0,10,2
150.0,15.507063112761704,166.22820801537472,-1.6,829.5017919846251,0.0,0.36,27.0,7,0
151.0,11.92589262510327,178.154100640478,-1.6,817.5758993595219,0.0,0.4175824175824176,38.0,11,0
152.0,9.72640713418353,187.8805077746615,-1.6,807.8494922253384,0.0,0.5384615384615384,49.0,11,0
153.0,5.424935500046593,193.26846280290462,-1.0748773003906682,802.4245567252918,0.0,0.6593406593406593,60.0,15,0
154.0,9.039242482839509,200.1795332557365,4.032555426227509,793.3853142424523,0.0,0.8222222222222222,74.0,16,1
155.0,11.57161884959787,201.6,15.366304607145482,781.8136953928546,0.0,0.8555555555555555,77.0,15,0
156.0,15.478361288458109,201.6,30.84466589560359,766.3353341043963,0.0,0.9438202247191011,84.0,16,1
157.0,16.995557578839364,201.6,47.84022347444296,749.3397765255569,0.0,1.1235955056179776,100.0,16,0
158.0,17.105162473302336,201.6,64.9453859477453,732.2346140522546,0.0,1.303370786516854,116.0,16,0
159.0,17.063425143435598,201.6,82.0088110911809,715.1711889088191,0.0,1.5,132.0,16,1
160.0,17.229865190573037,201.6,99.23867628175394,697.941323718246,0.0,1.6818181818181819,148.0,16,0
161.0,17.03884976040572,201.6,116.27752604215968,680.9024739578402,0.0,1.4069767441860466,121.0,13,2
162.0,17.05774574233219,201.6,133.33527178449182,663.8447282155081,0.0,1.3529411764705883,115.0,11,1
163.0,17.18455841904506,201.6,150.5198302035369,646.660169796463,0.0,1.388235294117647,118.0,12,0
164.0,15.240113974600616,204.8,165.75994417813752,631.4200558218624,0.0,1.5180722891566265,126.0,12,2
165.0,15.43771378830411,204.8,181.19765796644162,615.9823420335584,0.0,1.6585365853658536,136.0,12,1
166.0,14.235973872533322,204.8,195.43363183897495,601.746368161025,0.0,1.5520833333333333,149.0,13,1
167.0,13.884942318213655,204.8,209.3185741571886,587.8614258428114,0.0,1.7340425531914894,163.0,14,3
168.0,13.989776454023723,204.8,223.30835061121235,573.8716493887877,0.0,1.8709677419354838,174.0,15,1
169.0,13.99005913329353,204.8,237.29840974450588,559.8815902554942,0.0,2.032258064516129,189.0,16,0
170.0,13.772316323134087,204.8,251.07072606763995,546.10927393236,0.0,2.21505376344086,206.0,17,0
