time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
71.0,17.3625,13.0,998.4,3163.64,0.0,11.260504201680673,1340.0,67,0
72.0,17.129632083233446,30.129632083233446,998.4,3146.5103679167664,0.0,11.571428571428571,1377.0,68,0
73.0,17.263566691614688,47.39319877484814,998.4,3129.246801225152,0.0,12.159663865546218,1447.0,70,0
74.0,17.276838584057987,64.67003735890611,998.4,3111.969962641094,0.0,12.756302521008404,1518.0,71,0
75.0,17.351152073033155,82.02118943193929,998.4,3094.618810568061,0.0,1.2773109243697478,152.0,15,0
76.0,17.261292161792518,99.28248159373182,998.4,3077.3575184062684,0.0,0.22377622377622378,32.0,11,0
77.0,17.02728573717177,116.30976733090357,998.4,3060.3302326690964,0.0,0.34965034965034963,50.0,19,0
78.0,17.139915643446148,133.44968297434968,998.4,3043.1903170256505,0.0,0.5524475524475524,79.0,29,0
79.0,16.991584843397142,150.44126781774685,998.4,3026.198732182253,0.0,0.7272727272727273,104.0,29,0
80.0,17.18559779068455,167.6268656084314,998.4,3009.0131343915687,0.0,0.951048951048951,136.0,32,0
81.0,17.298105262592436,184.92497087102382,998.4,2991.7150291289763,0.0,1.1608391608391608,166.0,33,0
82.0,17.1682822692208,202.09325314024463,998.4,2974.546746859756,0.0,1.3636363636363635,195.0,32,0
83.0,17.297486802749336,219.39073994299397,998.4,2957.2492600570063,0.0,1.5874125874125875,227.0,32,0
84.0,17.24676308259368,236.63750302558768,998.4,2940.002496974412,0.0,1.8181818181818181,260.0,33,0
85.0,17.239713513478637,253.8772165390663,998.4,2922.762783460934,0.0,2.0489510489510487,293.0,33,0
86.0,17.131637328956277,271.0088538680226,998.4,2905.6311461319774,0.0,2.2797202797202796,326.0,33,0
87.0,17.005054768174887,288.01390863619747,998.4,2888.6260913638025,0.0,2.5104895104895104,359.0,33,0
88.0,17.256024576257914,305.2699332124554,998.4,2871.3700667875446,0.0,2.7412587412587412,392.0,33,0
89.0,17.073882455006242,322.3438156674616,998.4,2854.2961843325384,0.0,2.972027972027972,425.0,33,0
90.0,17.050944832339884,339.3947604998015,998.4,2837.2452395001987,0.0,3.202797202797203,458.0,33,0
91.0,17.28652442097664,356.6812849207781,998.4,2819.9587150792217,0.0,2.940119760479042,491.0,33,0
92.0,17.005674447305502,373.68695936808365,998.4,2802.9530406319163,0.0,3.187878787878788,526.0,35,2
93.0,17.332227240875365,391.019186608959,998.4,2785.6208133910413,0.0,3.4242424242424243,565.0,39,0
94.0,17.31763742584735,408.33682403480634,998.4,2768.303175965194,0.0,3.707317073170732,608.0,43,1
95.0,17.1964394710958,425.53326350590214,998.4,2751.106736494098,0.0,3.957317073170732,649.0,43,0
96.0,17.034263904578985,442.5675274104811,998.4,2734.072472589519,0.0,4.2317073170731705,694.0,45,0
97.0,17.096421818900854,459.66394922938196,998.4,2716.9760507706183,0.0,4.512195121951219,740.0,46,0
98.0,17.002465726342052,476.666414955724,998.4,2699.973585044276,0.0,4.780487804878049,784.0,48,0
99.0,17.338704772852363,494.0051197285764,998.4,2682.6348802714238,0.0,5.079268292682927,833.0,49,0
100.0,17.263215911109,511.2683356396854,998.4,2665.3716643603148,0.0,5.396341463414634,885.0,52,0
101.0,17.158852222189307,528.4271878618747,998.4,2648.212812138125,0.0,5.725609756097561,939.0,54,0
102.0,17.326682312041523,545.7538701739162,998.4,2630.886129826084,0.0,6.060975609756097,994.0,55,0
103.0,17.04843964483589,562.8023098187521,998.4,2613.837690181248,0.0,6.396341463414634,1049.0,55,0
104.0,17.20285540400073,580.0051652227528,998.4,2596.6348347772473,0.0,6.7317073170731705,1104.0,55,0
105.0,17.18542184382677,597.1905870665796,998.4,2579.4494129334207,0.0,7.067073170731708,1159.0,55,0
106.0,17.200628634076566,614.3912157006562,998.4,2562.2487842993437,0.0,6.518716577540107,1219.0,60,0
107.0,17.116023478098214,631.5072391787544,998.4,2545.1327608212455,0.0,6.929347826086956,1275.0,58,4
108.0,17.23906415300444,648.7463033317588,998.4,2527.8936966682413,0.0,7.295081967213115,1335.0,60,1
109.0,17.069257100578398,665.8155604323372,998.4,2510.824439567663,0.0,7.686813186813187,1399.0,64,1
110.0,17.05647704070434,682.8720374730416,998.4,2493.7679625269584,0.0,8.131868131868131,1480.0,81,0
