time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
21.0,17.3625,13.0,-1.6,2189.44,0.0,0.5714285714285714,28.0,8,0
22.0,16.977698604296894,29.97769860429689,-1.6,2172.462301395703,0.0,0.7346938775510204,36.0,8,0
23.0,17.148132436256855,47.12583104055374,-1.6,2155.3141689594463,0.0,0.8979591836734694,44.0,8,0
24.0,17.098646123334767,64.22447716388851,-1.6,2138.2155228361116,0.0,1.0612244897959184,52.0,8,0
25.0,16.285325991602207,80.50980315549072,-1.6,2121.9301968445093,0.0,1.2244897959183674,60.0,8,0
26.0,14.83620379166401,95.34600694715472,-1.6,2107.0939930528452,0.0,1.3877551020408163,68.0,8,0
27.0,14.074946982924672,109.42095393007939,-1.6,2093.0190460699205,0.0,1.5510204081632653,76.0,8,0
28.0,12.73785800235132,122.15881193243071,-1.6,2080.2811880675695,0.0,1.7142857142857142,84.0,8,0
29.0,12.131212302518023,134.29002423494873,-1.6,2068.1499757650513,0.0,1.8775510204081634,92.0,8,0
30.0,12.093556483142478,146.38358071809122,-4.8,2056.056419281909,0.0,2.0408163265306123,100.0,8,0
31.0,15.993921926949573,162.3775026450408,-4.8,2040.062497354959,0.0,1.4794520547945205,108.0,8,0
32.0,17.1401603131555,179.5176629581963,-4.8,2022.9223370418035,0.0,1.63013698630137,119.0,11,0
33.0,17.23244579480961,196.75010875300592,-4.8,2005.689891246994,0.0,1.875,135.0,16,1
34.0,17.34691721238196,214.0970259653879,-4.8,1988.3429740346119,0.0,2.125,153.0,18,0
35.0,17.20842633768916,231.30545230307706,-4.8,1971.1345476969227,0.0,2.4027777777777777,173.0,20,0
36.0,17.008961132355036,248.3144134354321,-4.8,1954.1255865645678,0.0,2.6805555555555554,193.0,20,0
37.0,17.170625735633077,265.4850391710652,-4.8,1936.9549608289346,0.0,2.9722222222222223,214.0,21,0
38.0,17.118030143808575,282.6030693148738,-4.8,1919.8369306851262,0.0,0.6666666666666666,48.0,7,0
39.0,17.201264040824025,299.8043333556978,-4.8,1902.635666644302,0.0,0.5833333333333334,42.0,5,0
40.0,17.12752034952864,316.93185370522644,-4.8,1885.5081462947735,0.0,0.6527777777777778,47.0,5,0
41.0,17.24493830734864,334.1767920125751,-4.8,1868.2632079874247,0.0,0.7222222222222222,52.0,5,0
42.0,17.175755958724768,351.3525479712998,-4.8,1851.0874520287,0.0,0.7916666666666666,57.0,5,0
43.0,17.211568935588,368.5641169068879,-4.8,1833.875883093112,0.0,0.8611111111111112,62.0,5,0
44.0,17.191054570302366,385.7551714771902,-4.8,1816.6848285228098,0.0,0.9305555555555556,67.0,5,0
45.0,17.317695954628288,403.07286743181845,-4.8,1799.3671325681814,0.0,1.0,72.0,5,0
46.0,17.150535450223835,420.22340288204225,-4.8,1782.2165971179575,0.0,0.84375,81.0,9,0
47.0,17.039141060318798,437.26254394236105,-4.8,1765.1774560576387,0.0,1.0104166666666667,97.0,16,0
