time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
21.0,17.3625,13.0,-1.6,2189.44,0.0,0.5714285714285714,28.0,8,0
22.0,16.977698604296894,29.97769860429689,-1.6,2172.462301395703,0.0,0.6122448979591837,30.0,7,0
23.0,17.148132436256855,47.12583104055374,-1.6,2155.3141689594463,0.0,0.7551020408163265,37.0,7,0
24.0,17.098646123334767,64.22447716388851,-1.6,2138.2155228361116,0.0,0.8979591836734694,44.0,7,0
25.0,16.285325991602207,80.50980315549072,-1.6,2121.9301968445093,0.0,1.0408163265306123,51.0,7,0
26.0,14.83620379166401,95.34600694715472,-1.6,2107.0939930528452,0.0,1.183673469387755,58.0,7,0
27.0,14.074946982924672,109.42095393007939,-1.6,2093.0190460699205,0.0,1.3265306122448979,65.0,7,0
28.0,12.73785800235132,122.15881193243071,-1.6,2080.2811880675695,0.0,1.469387755102041,72.0,7,0
29.0,12.131212302518023,134.29002423494873,-1.6,2068.1499757650513,0.0,1.6122448979591837,79.0,7,0
30.0,12.093556483142478,146.38358071809122,-4.8,2056.056419281909,0.0,1.7551020408163265,86.0,7,0
31.0,15.977844381478084,162.36142509956932,-4.8,2040.0785749004306,0.0,1.273972602739726,93.0,7,0
32.0,17.201147579029204,179.5625726785985,-4.8,2022.8774273214015,0.0,1.4246575342465753,104.0,11,0
33.0,17.181900515779855,196.74447319437837,-4.8,2005.6955268056215,0.0,1.6944444444444444,122.0,18,1
34.0,17.252505925856532,213.99697912023493,-4.8,1988.4430208797648,0.0,1.9583333333333333,141.0,19,0
35.0,17.20842633768916,231.2054054579241,-4.8,1971.2345945420757,0.0,2.2222222222222223,160.0,19,0
36.0,17.008961132355036,248.21436659027913,-4.8,1954.2256334097208,0.0,2.486111111111111,179.0,19,0
37.0,17.170625735633077,265.3849923259122,-4.8,1937.0550076740876,0.0,2.75,198.0,19,0
38.0,17.118030143808575,282.5030224697208,-4.8,1919.9369775302791,0.0,3.013888888888889,217.0,19,0
39.0,17.029395870584995,299.53241834030575,-4.8,1902.9075816596942,0.0,3.2777777777777777,236.0,19,0
40.0,17.299733635596933,316.8321519759028,-4.8,1885.6078480240972,0.0,3.5416666666666665,255.0,19,0
41.0,17.14376554163173,333.97591751753447,-4.8,1868.4640824824655,0.0,3.8055555555555554,274.0,19,0
42.0,17.24493830734864,351.2208558248831,-4.8,1851.2191441751168,0.0,4.069444444444445,293.0,19,0
43.0,17.06061387276277,368.2814696976459,-4.8,1834.158530302354,0.0,3.8055555555555554,274.0,17,0
44.0,16.998473427724093,385.27994312537,-4.8,1817.1600568746298,0.0,2.0972222222222223,151.0,9,0
45.0,16.996151436585933,402.27609456195586,-4.8,1800.1639054380441,0.0,2.2222222222222223,160.0,9,0
46.0,17.246731869410723,419.5228264313666,-4.8,1782.9171735686332,0.0,1.78125,171.0,11,0
47.0,17.186439003236593,436.70926543460314,-4.8,1765.7307345653967,0.0,1.9270833333333333,185.0,14,0
48.0,17.029222034756096,453.73848746935926,-4.8,1748.7015125306407,0.0,2.125,204.0,19,0
49.0,17.206075756251813,470.9445632256111,-4.8,1731.4954367743887,0.0,2.3645833333333335,227.0,23,0
50.0,17.060355436522514,488.0049186621336,-4.8,1714.4350813378662,0.0,2.5625,246.0,22,0
51.0,17.27932333452627,505.28424199665983,-4.8,1697.15575800334,0.0,2.7916666666666665,268.0,22,0
52.0,17.288558215927335,522.5728002125873,-4.8,1679.8671997874126,0.0,3.03125,291.0,23,0
53.0,17.02558609088883,539.598386303476,-4.8,1662.8416136965238,0.0,3.2708333333333335,314.0,23,0
54.0,16.98670042445883,556.5850867279348,-4.8,1645.854913272065,0.0,3.5416666666666665,340.0,26,0
55.0,17.123340009432287,573.7084267373672,-4.8,1628.7315732626328,0.0,3.8229166666666665,367.0,27,0
56.0,17.327103000227364,591.0355297375945,-4.8,1611.4044702624053,0.0,2.21875,213.0,18,0
57.0,17.20587024046108,608.2413999780556,-4.8,1594.1986000219442,0.0,1.4166666666666667,136.0,13,0
58.0,17.245776032656433,625.487176010712,-4.8,1576.9528239892877,0.0,1.28125,123.0,12,0
59.0,17.23976553687826,642.7269415475903,-4.8,1559.7130584524095,0.0,1.40625,135.0,12,0
