time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
71.0,17.3625,13.0,1195.2,4385.63,0.0,11.826210826210826,4151.0,208,0
72.0,17.000119182188065,30.000119182188065,1195.2,4368.629880817813,0.0,12.396011396011396,4351.0,209,0
73.0,17.022608101926746,47.022727284114815,1195.2,4351.607272715885,0.0,13.051428571428572,4568.0,217,1
74.0,17.17924275556579,64.20197003968062,1195.2,4334.42802996032,0.0,13.688571428571429,4791.0,223,0
75.0,17.30614516362548,81.50811520330609,1195.2,4317.121884796694,0.0,1.0742857142857143,376.0,41,0
76.0,17.1072331703268,98.61534837363288,1195.2,4300.014651626367,0.0,0.4880952380952381,205.0,37,0
77.0,17.053471656888725,115.66882003052162,1195.2,4282.9611799694785,0.0,0.5547619047619048,233.0,46,0
78.0,17.265278119035067,132.93409814955666,1195.2,4265.695901850444,0.0,0.6928571428571428,291.0,58,0
79.0,16.99724299311638,149.93134114267303,1195.2,4248.698658857327,0.0,0.8523809523809524,358.0,67,0
80.0,17.23345959382132,167.16480073649436,1195.2,4231.465199263506,0.0,1.0190930787589498,427.0,69,1
81.0,17.306370568927377,184.47117130542173,1195.2,4214.158828694579,0.0,1.1861575178997614,497.0,70,0
82.0,17.26557066580281,201.73674197122455,1195.2,4196.893258028776,0.0,1.3508353221957041,566.0,72,0
83.0,17.122932798974215,218.85967477019878,1195.2,4179.7703252298015,0.0,1.5250596658711217,639.0,73,0
84.0,17.354786859825253,236.21446163002403,1195.2,4162.415538369976,0.0,1.704057279236277,714.0,75,0
85.0,17.074372732732446,253.2888343627565,1195.2,4145.341165637244,0.0,1.8830548926014319,789.0,75,0
86.0,17.017571318242698,270.3064056809992,1195.2,4128.323594319001,0.0,2.064439140811456,865.0,76,0
87.0,16.98840933982283,287.294815020822,1195.2,4111.335184979178,0.0,2.2458233890214796,941.0,76,0
88.0,16.987477934453636,304.28229295527564,1195.2,4094.3477070447243,0.0,2.4272076372315037,1017.0,76,0
89.0,17.354881870467217,321.6371748257429,1195.2,4076.992825174257,0.0,2.610978520286396,1094.0,77,0
90.0,17.330809613503515,338.9679844392464,1195.2,4059.662015560754,0.0,2.7947494033412887,1171.0,77,0
91.0,17.257839702256025,356.2258241415024,1195.2,4042.4041758584976,0.0,2.5614754098360657,1250.0,79,0
92.0,17.197616426460446,373.42344056796287,1195.2,4025.206559432037,0.0,2.7336065573770494,1334.0,84,1
93.0,17.306782607920468,390.73022317588334,1195.2,4007.8997768241165,0.0,2.9362139917695473,1427.0,93,2
94.0,17.206869155541064,407.93709233142437,1195.2,3990.6929076685756,0.0,3.139917695473251,1526.0,99,0
95.0,17.32918372238055,425.2662760538049,1195.2,3973.363723946195,0.0,3.3711340206185567,1635.0,109,1
96.0,17.115186778455975,442.38146283226087,1195.2,3956.248537167739,0.0,3.622680412371134,1757.0,122,0
97.0,17.005255147628485,459.3867179798894,1195.2,3939.2432820201107,0.0,3.9047619047619047,1886.0,129,2
98.0,17.27136838352308,476.65808636341245,1195.2,3921.9719136365875,0.0,4.186335403726708,2022.0,136,0
99.0,16.540590250049338,493.19867661346177,1195.2,3905.431323386538,0.0,4.476190476190476,2162.0,140,0
100.0,15.424267489554849,508.62294410301666,1195.2,3890.0070558969833,0.0,4.774327122153209,2306.0,144,0
101.0,14.650385984749509,523.2733300877662,1195.2,3875.356669912234,0.0,5.078674948240166,2453.0,147,0
102.0,14.757764570603538,538.0310946583697,1195.2,3860.59890534163,0.0,5.385093167701863,2601.0,148,0
