episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
37,multi_level_coordinated_dqn,29,12497.8127,0.177891,0.8307,657.8186,-1.0727,-0.0334,1.3180,0.2598,0.8773,1.1454,33.52,33.12,33.35
38,multi_level_coordinated_dqn,29,12274.9484,0.205957,0.8266,608.7195,-1.0736,-0.0329,1.3173,0.2592,0.8806,1.1775,31.87,33.04,35.08
39,multi_level_coordinated_dqn,29,12673.9231,0.928507,0.8224,569.1545,-1.0696,-0.0234,1.3207,0.2523,0.8791,1.1107,32.44,30.75,36.81
40,multi_level_coordinated_dqn,29,12466.2604,0.280950,0.8183,542.8630,-1.0668,-0.0192,1.3181,0.2494,0.8878,1.1196,30.70,31.35,37.95
41,multi_level_coordinated_dqn,29,12595.0962,0.362379,0.8142,618.0839,-1.0724,-0.0338,1.3190,0.2593,0.8738,1.1682,30.54,33.48,35.98
42,multi_level_coordinated_dqn,29,12749.4887,5.707540,0.8102,626.4079,-1.0724,-0.0299,1.3205,0.2567,0.8726,1.0991,35.35,32.47,32.18
43,multi_level_coordinated_dqn,29,12527.9762,0.187786,0.8061,535.3968,-1.0660,-0.0178,1.3197,0.2476,0.8857,1.1062,30.70,34.84,34.46
44,multi_level_coordinated_dqn,29,12429.4246,1.406092,0.8021,635.5851,-1.0746,-0.0368,1.3180,0.2625,0.8742,1.1247,31.78,34.00,34.22
45,multi_level_coordinated_dqn,29,12976.3804,0.200443,0.7981,598.8173,-1.0723,-0.0262,1.3237,0.2541,0.8677,1.0504,36.65,31.34,32.00
46,multi_level_coordinated_dqn,29,12313.9543,0.206789,0.7941,638.7807,-1.0746,-0.0376,1.3169,0.2629,0.8765,1.1618,33.94,32.35,33.71
