episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
38,multi_level_coordinated_dqn,29,1550.2911,0.610948,0.8266,146.0058,-1.0036,-0.1523,1.3114,0.3652,0.7370,1.7293,34.56,32.52,32.92
39,multi_level_coordinated_dqn,29,1629.4713,0.351969,0.8224,139.5990,-1.0009,-0.1491,1.3133,0.3618,0.7325,1.6442,36.13,31.46,32.41
40,multi_level_coordinated_dqn,29,1403.4694,0.329500,0.8183,136.8903,-1.0130,-0.1622,1.3088,0.3727,0.7350,1.7262,34.94,32.01,33.05
41,multi_level_coordinated_dqn,29,1605.9768,0.671206,0.8142,136.1856,-1.0013,-0.1507,1.3130,0.3629,0.7341,1.6263,33.19,32.49,34.32
42,multi_level_coordinated_dqn,29,1325.5528,2.048258,0.8102,148.9124,-1.0175,-0.1652,1.3084,0.3738,0.7361,1.7631,32.68,35.48,31.84
43,multi_level_coordinated_dqn,29,1554.5888,0.605711,0.8061,137.8807,-1.0022,-0.1515,1.3107,0.3652,0.7383,1.6991,36.29,34.19,29.52
44,multi_level_coordinated_dqn,29,1560.9344,1.115367,0.8021,137.0929,-1.0010,-0.1529,1.3105,0.3663,0.7386,1.6794,30.97,33.72,35.31
45,multi_level_coordinated_dqn,29,1653.7721,0.576589,0.7981,144.7266,-1.0006,-0.1484,1.3148,0.3610,0.7315,1.6016,31.48,28.18,40.34
46,multi_level_coordinated_dqn,29,1608.8654,0.545380,0.7941,145.3344,-0.9999,-0.1506,1.3119,0.3637,0.7361,1.7119,33.27,32.89,33.83
47,multi_level_coordinated_dqn,29,1473.8931,0.515631,0.7901,156.6060,-1.0025,-0.1568,1.3072,0.3701,0.7441,1.7833,34.17,32.94,32.89
48,multi_level_coordinated_dqn,29,1655.0727,3.085780,0.7862,137.6199,-1.0005,-0.1483,1.3147,0.3609,0.7303,1.6072,29.84,35.55,34.61
49,multi_level_coordinated_dqn,29,1508.7158,0.642574,0.7822,138.2663,-1.0041,-0.1547,1.3101,0.3674,0.7398,1.7559,32.44,33.22,34.34
50,multi_level_coordinated_dqn,29,1727.5340,3.735656,0.7783,144.2087,-1.0006,-0.1440,1.3178,0.3564,0.7247,1.5567,34.57,32.48,32.95
51,multi_level_coordinated_dqn,29,1655.7403,0.937344,0.7744,154.5519,-1.0012,-0.1474,1.3146,0.3610,0.7328,1.6504,33.77,34.85,31.38
52,multi_level_coordinated_dqn,29,1559.5080,0.494452,0.7705,143.9479,-0.9993,-0.1540,1.3097,0.3672,0.7402,1.7192,28.87,36.45,34.68
53,multi_level_coordinated_dqn,29,1628.3416,0.477181,0.7667,99.2892,-1.0032,-0.1487,1.3157,0.3607,0.7288,1.5451,36.32,29.68,34.00
54,multi_level_coordinated_dqn,29,1603.7510,0.568693,0.7629,93.1689,-1.0011,-0.1511,1.3131,0.3626,0.7347,1.6323,32.26,31.14,36.60
55,multi_level_coordinated_dqn,29,1556.5811,1.312107,0.7590,150.4999,-1.0012,-0.1526,1.3104,0.3656,0.7386,1.6827,31.52,35.56,32.92
56,multi_level_coordinated_dqn,29,1642.3081,0.374342,0.7553,279.5197,-0.9999,-0.1489,1.3135,0.3619,0.7330,1.6111,33.75,31.51,34.74
57,multi_level_coordinated_dqn,29,1758.2844,0.799248,0.7515,278.9381,-0.9983,-0.1439,1.3185,0.3564,0.7253,1.5614,32.01,32.95,35.04
58,multi_level_coordinated_dqn,29,1606.6814,1.087691,0.7477,279.7007,-0.9987,-0.1516,1.3115,0.3647,0.7367,1.6626,31.66,30.40,37.95
59,multi_level_coordinated_dqn,29,1895.2696,0.517760,0.7440,279.6762,-0.9944,-0.1384,1.3221,0.3500,0.7194,1.4670,30.16,28.28,41.57
60,multi_level_coordinated_dqn,29,1634.8416,0.412414,0.7403,279.1606,-0.9989,-0.1500,1.3128,0.3628,0.7342,1.6639,30.41,34.42,35.18
61,multi_level_coordinated_dqn,29,1711.5924,0.910145,0.7366,279.6560,-0.9977,-0.1465,1.3158,0.3591,0.7300,1.6036,33.42,33.99,32.59
62,multi_level_coordinated_dqn,29,1661.9743,2.350051,0.7329,279.8057,-0.9995,-0.1476,1.3137,0.3613,0.7323,1.6319,32.72,32.96,34.32
63,multi_level_coordinated_dqn,29,1822.5898,1.569205,0.7292,279.4683,-0.9915,-0.1439,1.3182,0.3563,0.7252,1.5858,35.28,32.84,31.88
64,multi_level_coordinated_dqn,29,1635.7191,1.627884,0.7256,279.8820,-1.0007,-0.1493,1.3140,0.3618,0.7322,1.6552,31.77,34.72,33.51
65,multi_level_coordinated_dqn,29,1620.9163,0.696379,0.7219,279.4048,-1.0049,-0.1481,1.3156,0.3606,0.7297,1.5739,38.10,29.40,32.50
66,multi_level_coordinated_dqn,29,1538.8335,1.744095,0.7183,208.9620,-1.0030,-0.1532,1.3105,0.3661,0.7386,1.7410,29.80,33.68,36.51
67,multi_level_coordinated_dqn,29,1775.8687,1.166732,0.7147,84.8381,-0.9989,-0.1431,1.3195,0.3555,0.7237,1.5575,32.29,30.61,37.10
68,multi_level_coordinated_dqn,29,1592.1153,0.530944,0.7112,87.4933,-1.0012,-0.1512,1.3121,0.3643,0.7357,1.7090,31.80,35.13,33.07
69,multi_level_coordinated_dqn,29,1668.5014,0.431861,0.7076,195.4134,-0.9998,-0.1472,1.3143,0.3610,0.7310,1.6140,33.79,35.58,30.63
70,multi_level_coordinated_dqn,29,1502.9051,1.359454,0.7041,283.1964,-1.0002,-0.1563,1.3072,0.3699,0.7435,1.7828,31.49,38.07,30.45
71,multi_level_coordinated_dqn,29,1426.8223,0.790994,0.7005,298.5631,-1.0117,-0.1621,1.3095,0.3728,0.7353,1.7541,32.40,35.09,32.51
72,multi_level_coordinated_dqn,29,1546.8443,0.873649,0.6970,287.2371,-1.0061,-0.1537,1.3122,0.3649,0.7328,1.6404,29.00,32.61,38.39
73,multi_level_coordinated_dqn,29,1611.7340,1.634294,0.6936,280.2972,-0.9978,-0.1518,1.3112,0.3652,0.7384,1.7135,29.85,34.31,35.84
74,multi_level_coordinated_dqn,29,1598.0153,39.559772,0.6901,280.4537,-1.0020,-0.1505,1.3128,0.3638,0.7347,1.6376,32.87,37.74,29.39
75,multi_level_coordinated_dqn,29,1672.3858,0.823177,0.6866,278.6505,-0.9982,-0.1481,1.3140,0.3609,0.7336,1.6300,35.77,34.54,29.69
76,multi_level_coordinated_dqn,29,1667.8920,1.513425,0.6832,280.5099,-1.0045,-0.1457,1.3174,0.3583,0.7260,1.6439,35.94,26.72,37.33
77,multi_level_coordinated_dqn,29,1634.0181,0.878087,0.6798,279.9952,-1.0008,-0.1489,1.3136,0.3618,0.7323,1.6356,32.94,37.20,29.85
78,multi_level_coordinated_dqn,29,1889.8939,2.404733,0.6764,279.2837,-0.9891,-0.1407,1.3186,0.3551,0.7253,1.5665,36.51,31.23,32.26
79,multi_level_coordinated_dqn,29,1314.0870,1.763169,0.6730,207.2286,-1.0132,-0.1651,1.3055,0.3760,0.7434,1.7831,30.81,37.76,31.44
80,multi_level_coordinated_dqn,29,1681.4598,8.601660,0.6696,85.7420,-0.9983,-0.1479,1.3147,0.3608,0.7314,1.5573,30.44,34.17,35.40
